source,target
Claudia_Pechstein,Paul-Henri_Mathieu
Pierce_Brosnan,Kjell_Magne_Bondevik
Carly_Fiorina,Evan_Rachel_Wood
Amelie_Mauresmo,Arminio_Fraga
Gerry_Adams,Kimi_Raikkonen
Fernando_Henrique_Cardoso,Jean_Charest
Vanessa_Incontrada,George_Papandreou
James_Cunningham,Jerry_Regier
Susilo_Bambang_Yudhoyono,Prince_Naruhito
Howard_Dean,Katie_Harman
Michelle_Yeoh,Jose_Serra
Hee-Won_Han,Arminio_Fraga
Antonio_Banderas,Debra_Messing
Martin_Scorsese,Kamal_Kharrazi
Paul_ONeill,Lee_Soo-hyuck
Leszek_Miller,Prince_Willem-Alexander
John_Malkovich,Martha_Stewart
Elizabeth_Hurley,Rick_Pitino
Samuel_Waksal,Ariel_Sharon
George_Clooney,Rachel_Hunter
Rob_Marshall,Jiang_Zemin
Thomas_Fargo,Kelly_Clarkson
Dennis_Kucinich,Vaclav_Havel
Hu_Jintao,Jean_Charest
Anastasia_Myskina,Biljana_Plavsic
Conchita_Martinez,Arnold_Palmer
Norah_Jones,Bernard_Law
Daniel_Radcliffe,Anne_Krueger
Condoleezza_Rice,Nan_Wang
Mohammed_Baqir_al-Hakim,Bob_Hope
Dennis_Kucinich,Daniel_Radcliffe
Lars_Von_Trier,Mikhail_Wehbe
Queen_Beatrix,John_Swofford
Monica_Bellucci,Sarah_Hughes
Bill_Simon,Pedro_Almodovar
Jose_Sarney,Jim_OBrien
Vince_Carter,Augustin_Calleri
Milo_Djukanovic,Tom_Reilly
Art_Howe,Zhang_Ziyi
Heizo_Takenaka,Dan_Morales
Juan_Carlos_Ferrero,Juan_Manuel_Marquez
Serena_Williams,Steve_Mariucci
Jose_Sarney,Alvaro_Silva_Calderon
Vincent_Gallo,Joschka_Fischer
John_Edwards,Janet_Napolitano
Zico,Kemal_Dervis
Carla_Del_Ponte,Michael_Moore
Celine_Dion,George_Clooney
Anibal_Ibarra,Ed_Rosenthal
Richard_Krajicek,George_Pataki
Fred_Thompson,Carlos_Moya
Tim_Duncan,Lars_Von_Trier
Win_Aung,Charles_Bronson
Cameron_Diaz,Shimon_Peres
Tony_Stewart,Lynn_Redgrave
Queen_Beatrix,Placido_Domingo
Warren_Buffett,Joan_Laporta
Augustin_Calleri,Katherine_Harris
Michael_Ballack,George_Ryan
Kim_Clijsters,Heizo_Takenaka
Paul-Henri_Mathieu,Jeb_Bush
Sebastian_Saja,Angela_Merkel
Walter_Mondale,Ciro_Gomes
Michael_Chang,Christine_Gregoire
Jon_Voight,Ludivine_Sagnier
Silvia_Farina_Elia,Jean-David_Levitte
Abdullah,Branko_Crvenkovski
Xavier_Malisse,Carlos_Manuel_Pruneda
Mohammad_Khatami,Sean_Patrick_OMalley
Abid_Hamid_Mahmud_Al-Tikriti,Victoria_Clarke
Vicente_Fernandez,Sean_Astin
Annette_Lu,Justin_Timberlake
Rainer_Schuettler,Joschka_Fischer
Mike_Tyson,Carlos_Vives
Eileen_Coparropa,Jose_Maria_Aznar
Zico,James_Cameron
Marc_Grossman,Petria_Thomas
Ronald_Reagan,Steve_Lavin
Jacques_Chirac,Amelie_Mauresmo
Franz_Fischler,Emma_Thompson
Rick_Barnes,Sonia_Gandhi
Sheila_Copps,Jennifer_Garner
Martin_Verkerk,Larry_Ellison
Heather_Mills,Zhang_Ziyi
Andre_Agassi,Michael_Jordan
Richard_Gere,Angelo_Reyes
Mike_Martz,Mary_Landrieu
Binyamin_Ben-Eliezer,Rita_Grande
Mary_Landrieu,Martha_Stewart
Junichiro_Koizumi,Juanes
Bill_Paxton,William_Bulger
Amelie_Mauresmo,Marc_Grossman
Jerry_Regier,Hugh_Grant
Gregg_Popovich,Paul_Wellstone
Pedro_Solbes,Clay_Aiken
Ed_Rosenthal,Martina_McBride
Paul_Wolfowitz,Spencer_Abraham
Paul_ONeill,Richard_Gere
Bob_Stoops,Alec_Baldwin
Mark_Gottfried,Harrison_Ford
Jean_Charest,Kobe_Bryant
Fernando_Henrique_Cardoso,Derek_Jeter
Denzel_Washington,Donald_Pettit
Juan_Carlos_Ferrero,Emanuel_Ginobili
Valery_Giscard_dEstaing,Greg_Rusedski
Michelle_Pfeiffer,Luis_Horna
Christine_Todd_Whitman,Adolfo_Aguilar_Zinser
George_Lopez,Ciro_Gomes
Lucio_Gutierrez,Paradorn_Srichaphan
Paul_Tagliabue,James_Blake
Elizabeth_Smart,Paul_Martin
Cruz_Bustamante,Elizabeth_Hurley
Michelle_Pfeiffer,Martha_Burk
Edmund_Stoiber,Richard_Armitage
Jiri_Novak,George_Robertson
Kobe_Bryant,Steve_Nash
Carrie-Anne_Moss,John_Warner
Mohamed_ElBaradei,Martin_Verkerk
Mohammad_Khatami,Sam_Bith
Adolfo_Aguilar_Zinser,Norah_Jones
Guillermo_Canas,Gil_de_Ferran
Tariq_Aziz,Richard_Gere
James_Cunningham,Joe_Torre
Osama_bin_Laden,Jennifer_Capriati
Gustavo_Kuerten,Jack_Nicholson
Ilan_Ramon,Phan_Van_Khai
Rita_Grande,Alvaro_Uribe
Mikhail_Wehbe,Arianna_Huffington
Yu_Shyi-kun,Silvan_Shalom
