source,target
Anastasia_Myskina,Marc_Grossman
Tim_Duncan,Jacques_Rogge
Sylvester_Stallone,Dale_Earnhardt_Jr
Naomi_Watts,Dennis_Kucinich
Michelle_Yeoh,Paul_McCartney
Pedro_Solbes,Kurt_Warner
Ana_Guevara,Colin_Montgomerie
Ed_Rosenthal,Roger_Federer
Sebastien_Grosjean,Mikhail_Youzhny
Sila_Calderon,Pamela_Anderson
Carmen_Electra,Fred_Eckhard
Alvaro_Silva_Calderon,Yasar_Yakis
Geraldine_Chaplin,Taufik_Hidayat
Federico_Trillo,Ricardo_Sanchez
Li_Peng,Yao_Ming
Mohammed_Al-Douri,Conan_OBrien
Meryl_Streep,Jack_Straw
Bill_Gates,Paul_Tagliabue
Patti_Labelle,Pamela_Anderson
Muhammad_Saeed_al-Sahhaf,Tim_Duncan
Matt_Damon,Jan_Ullrich
Alec_Baldwin,Mohamed_ElBaradei
Colin_Powell,Carla_Del_Ponte
Angelina_Jolie,Michael_Chang
Tim_Henman,Silvio_Berlusconi
Rainer_Schuettler,Bridget_Fonda
Alvaro_Noboa,Elton_John
Lance_Bass,Mohammad_Khatami
Costas_Simitis,Richard_Gere
David_Nalbandian,Nick_Nolte
Greg_Rusedski,Martha_Stewart
Bridgette_Wilson-Sampras,Pervez_Musharraf
Clay_Aiken,Jennifer_Garner
Mireya_Moscoso,Lesley_McCulloch
Ronaldo_Luis_Nazario_de_Lima,Michael_Phelps
Farouk_al-Sharaa,Kim_Ryong-sung
Trent_Lott,Edward_Lu
Iain_Duncan_Smith,Sepp_Blatter
Ai_Sugiyama,Clint_Eastwood
Robert_Mueller,Jayson_Williams
Paul_Tagliabue,Biljana_Plavsic
George_Papandreou,Justin_Leonard
Edwin_Edwards,Rick_Dinse
George_Lopez,Angelo_Reyes
Yasser_Arafat,Lou_Piniella
Spencer_Abraham,Joe_Torre
Doris_Schroeder,John_Swofford
Lars_Von_Trier,Arturo_Gatti
Nestor_Kirchner,Kristin_Davis
Jeff_Van_Gundy,Faye_Dunaway
Elsa_Zylberstein,Vicente_Fernandez
Vincent_Brooks,Frank_Solich
Michael_Winterbottom,Padraig_Harrington
Adam_Sandler,William_Ford_Jr
Angela_Bassett,Sophia_Loren
Chick_Hearn,Choi_Sung-hong
Conchita_Martinez,Luiz_Inacio_Lula_da_Silva
Prince_Harry,Rick_Dinse
Martin_McGuinness,Bud_Selig
Sachiko_Yamada,Zinedine_Zidane
Goldie_Hawn,John_McCain
Jean-Francois_Pontal,Taha_Yassin_Ramadan
Conan_OBrien,Franz_Fischler
Edward_Lu,Robbie_Williams
Melanie_Griffith,Sean_OKeefe
Angela_Merkel,Paul_Sarbanes
Naji_Sabri,Salma_Hayek
Rick_Santorum,Gregg_Popovich
Arnold_Palmer,Justine_Pasek
Thomas_OBrien,Penelope_Cruz
Evan_Rachel_Wood,Elton_John
Robert_Mueller,Christine_Gregoire
Aleksander_Kwasniewski,Amelie_Mauresmo
Peter_Arnett,Kamal_Kharrazi
Yoko_Ono,Prince_Claus
Wang_Yingfan,Mick_Jagger
Charles_Moose,Antonio_Trillanes
Laila_Ali,Robert_Duvall
Salman_Rushdie,Vicente_Fernandez
Antony_Leung,Dan_Morales
Robert_Blake,Mary-Kate_Olsen
Rupert_Grint,Natasha_McElhone
Al_Gore,Pierce_Brosnan
Jennifer_Garner,Lennox_Lewis
Fabrice_Santoro,Keanu_Reeves
Uma_Thurman,Jake_Gyllenhaal
Mariangel_Ruiz_Torrealba,Anders_Fogh_Rasmussen
Clara_Harris,Vicente_Fernandez
LeBron_James,Luis_Ernesto_Derbez_Bautista
Vanessa_Williams,Richard_Armitage
Paul_Wellstone,Michael_Jackson
Leslie_Caldwell,John_Malkovich
Aleksander_Kwasniewski,Aicha_El_Ouafi
Mukesh_Ambani,Amelie_Mauresmo
