source,target
Marty_Mornhinweg,Branko_Crvenkovski
Samuel_Waksal,Robert_Evans
Kim_Clijsters,Kalpana_Chawla
Jennifer_Lopez,Allyson_Felix
Bill_Graham,Sheila_Copps
Mathias_Reichhold,Roy_Williams
Norodom_Sihanouk,Scott_McClellan
Luis_Figo,Glafcos_Clerides
Steve_Ballmer,Tony_Stewart
Arianna_Huffington,Billy_Crystal
Vicente_Fernandez,Paul_Wolfowitz
Lisa_Marie_Presley,Eduard_Shevardnadze
Larry_Coker,Heidi_Fleiss
Ralf_Schumacher,Adolfo_Aguilar_Zinser
Gray_Davis,Jeff_Van_Gundy
Hu_Jintao,Heather_Mills
Jesse_Jackson,Michelle_Kwan
Diana_Krall,Lance_Armstrong
Jim_Hahn,Victoria_Beckham
Christina_Aguilera,Doris_Schroeder
Kofi_Annan,Michael_Powell
Charlton_Heston,Eric_Robert_Rudolph
Fidel_Castro,Azra_Akin
Jan_Ullrich,Tim_Conway
Christian_Longo,Michelle_Pfeiffer
Antonio_Palocci,Adel_Al-Jubeir
Francisco_Flores,Anne_Krueger
Michael_Phelps,Jose_Serra
Anastasia_Myskina,Megawati_Sukarnoputri
Carmen_Electra,Jim_Furyk
Erin_Runnion,Hillary_Clinton
Aleksander_Kwasniewski,Justin_Leonard
Albert_Costa,Adolfo_Aguilar_Zinser
Martin_McGuinness,Hilary_Duff
Tony_Stewart,Mick_Jagger
Luis_Gonzalez_Macchi,Justine_Henin
